%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
\nPress F4 to decrease bet.\n\nPress F6 to increase bet.\n\nPress F8 to pull handle.\n	\nPress F4 to decrease bet.\n\nPress F6 to increase bet.\n\nPress F8 to pull handle.\n
\n           RESULTS           PAYS\n|--------------------------------|\n| Cherry |        |        |  1  |\n| Cherry | Cherry |        |  2  |\n| Cherry | Cherry | Cherry |  4  |\n|--------|--------|--------|-----|\n| Orange | Orange |        |  2  |\n| Orange | Orange | Orange |  4  |\n|--------|--------|--------|-----|\n| Seven  | Seven  |        |  3  |\n| Seven  | Seven  | Seven  |  5  |\n|--------|--------|--------|-----|\n| Bar    | Bar    | Bar    |  7  |\n|--------------------------------|\n	\n           RESULTS           PAYS\n|--------------------------------|\n| Cherry |        |        |  1  |\n| Cherry | Cherry |        |  2  |\n| Cherry | Cherry | Cherry |  4  |\n|--------|--------|--------|-----|\n| Orange | Orange |        |  2  |\n| Orange | Orange | Orange |  4  |\n|--------|--------|--------|-----|\n| Seven  | Seven  |        |  3  |\n| Seven  | Seven  | Seven  |  5  |\n|--------|--------|--------|-----|\n| Bar    | Bar    | Bar    |  7  |\n|--------------------------------|\n
You insert zero dollars, and pretend to pull the handle.	You insert zero dollars, and pretend to pull the handle.
You win zero dollars!	You win zero dollars!
Is this your idea of a good time?	Is this your idea of a good time?
This machine has a $20.00 limit.	This machine has a $20.00 limit.
You can't bet more than you have.	You can't bet more than you have.
It's an electronic slot machine. When you tire of playing, just type "stop."	It's an electronic slot machine. When you tire of playing, just type "stop."
Don't be in such a hurry!	Don't be in such a hurry!
Slow down!	Slow down!
What are you? A "Type-A" personality?	What are you? A "Type-A" personality?
You are sitting at a blackjack table in the casino. There is a sign on the table titled "House Rules."	You are sitting at a blackjack table in the casino. There is a sign on the table titled "House Rules."
Do you want insurance? 	Do you want insurance? 
Amount in dollars: $	Amount in dollars: $
Please bet an even number of dollars (2, 4, 6, etc.). The house does not keep half-dollars.	Please bet an even number of dollars (2, 4, 6, etc.). The house does not keep half-dollars.
The dealer has blackjack!	The dealer has blackjack!
Surrendering your cards, you are refunded half of your bet.	Surrendering your cards, you are refunded half of your bet.
You bet zero dollars, receive zero cards, and win zero dollars and zero cents.	You bet zero dollars, receive zero cards, and win zero dollars and zero cents.
You can play all night like this!	You can play all night like this!
Your insurance bet pays 2 to 1.	Your insurance bet pays 2 to 1.
Please answer "y" or "n".	Please answer "y" or "n".
You are busted.	You are busted.
The dealer busted.	The dealer busted.
She's a beautiful young lady, but you vow to keep your thoughts on the game.	She's a beautiful young lady, but you vow to keep your thoughts on the game.
It's a push!	It's a push!
"Thanks for playing," says the dealer, finally cracking a smile. "Come back anytime."	"Thanks for playing," says the dealer, finally cracking a smile. "Come back anytime."
You lose!	You lose!
You have blackjack.	You have blackjack.
Six cards make a winner.	Six cards make a winner.
You can only 	You can only 
 when you have two cards.	 when you have two cards.
"Please, no talking at the tables."	"Please, no talking at the tables."
That's not a pair.	That's not a pair.
"I'm sorry, Sir. We're not permitted to accept gratuities!"	"I'm sorry, Sir. We're not permitted to accept gratuities!"
%m19double when you have 10 or 11 points.	%m19double when you have 10 or 11 points.
%m19split%m20	%m19split%m20
%m19surrender%m20	%m19surrender%m20
Don't be in such a hurry. Finish this hand first!	Don't be in such a hurry. Finish this hand first!
It's too late now. This hand is already being played.	It's too late now. This hand is already being played.
$20.00 is the maximum bet at this table.	$20.00 is the maximum bet at this table.
Your first hand 	Your first hand 
%m34is a push!	%m34is a push!
%m34wins!	%m34wins!
%m34loses!	%m34loses!
%m34busted!	%m34busted!
%m43is a push!	%m43is a push!
%m43wins!	%m43wins!
%m43loses!	%m43loses!
%m43busted!	%m43busted!
Your split hand 	Your split hand 
Please wait until it's your turn.	Please wait until it's your turn.
\n        HOUSE RULES\n\nThis table has a $20.00 limit. Bets must be a multiple of $2.00.\n\nDealer must hit 16, and must stand on 17.\n\nBlackjack pays 1-1/2 to 1 odds.\n\nAny six cards under 22 wins.\n	\n        HOUSE RULES\n\nThis table has a $20.00 limit. Bets must be a multiple of $2.00.\n\nDealer must hit 16, and must stand on 17.\n\nBlackjack pays 1-1/2 to 1 odds.\n\nAny six cards under 22 wins.\n
\nInsurance bets are offered whenever the dealer shows an ace. They are half your bet, and pay 2 to 1 odds.\n\nYou may split a pair or surrender whenever you have only two cards.\n\nYou may double down if your cards total 10 or 11 points.\n	\nInsurance bets are offered whenever the dealer shows an ace. They are half your bet, and pay 2 to 1 odds.\n\nYou may split a pair or surrender whenever you have only two cards.\n\nYou may double down if your cards total 10 or 11 points.\n
\nPress F4 when ready to play.\n\nPress F6 for another card.\n\nPress F8 to stand.\n\nTo change the amount of your bet, type "change bet."\n	\nPress F4 when ready to play.\n\nPress F6 for another card.\n\nPress F8 to stand.\n\nTo change the amount of your bet, type "change bet."\n
You are in the Casino's hotel. Doors line each side, many with "Do Not Disturb" signs on their doorknobs.	You are in the Casino's hotel. Doors line each side, many with "Do Not Disturb" signs on their doorknobs.
There's a door with a heart on it to the west.	There's a door with a heart on it to the west.
Not one for those long elevator rides, eh, Larry?	Not one for those long elevator rides, eh, Larry?
You rap your knuckles on the door. There is no response, but now your knuckles hurt.	You rap your knuckles on the door. There is no response, but now your knuckles hurt.
Fawn's delicate voice booms out across the hotel:\n\n"Just a minute, Larry!"	Fawn's delicate voice booms out across the hotel:\n\n"Just a minute, Larry!"
There's a click as she unlocks the door, then a piercing "Come on in. The door's open."	There's a click as she unlocks the door, then a piercing "Come on in. The door's open."
You can't. This door is locked.	You can't. This door is locked.
Subtly, you shout, "Here I come, baby!"	Subtly, you shout, "Here I come, baby!"
It's a door not unlike all the others, except this one has a cute, trite, cracked, little, plastic heart stuck to it with a thumbtack.	It's a door not unlike all the others, except this one has a cute, trite, cracked, little, plastic heart stuck to it with a thumbtack.
It's a door just like all the others.	It's a door just like all the others.
They almost look real, don't they?	They almost look real, don't they?
You seem surprised that the door is locked.	You seem surprised that the door is locked.
You close the door behind you, and jiggle the knob to confirm it is locked.	You close the door behind you, and jiggle the knob to confirm it is locked.
Isn't it funny how the elevator is always waiting for you?	Isn't it funny how the elevator is always waiting for you?
The cheap, plastic heart is not worth the bother.	The cheap, plastic heart is not worth the bother.
Fawn's sexy voice oozes through the door, "Oh, baby, it's you! You're back!!"	Fawn's sexy voice oozes through the door, "Oh, baby, it's you! You're back!!"
There's a click as she unlocks the door. "Come on in, you wonderful hunk!"	There's a click as she unlocks the door. "Come on in, you wonderful hunk!"
It's no good. The door resists all of your efforts.	It's no good. The door resists all of your efforts.
You contemplate expec- toration, but remember that discretion is the better part of valium.	You contemplate expec- toration, but remember that discretion is the better part of valium.
...or helium,	...or helium,
...or something.	...or something.
Suicide is illegal here.	Suicide is illegal here.
You rap your knuckles on the nearest door.	You rap your knuckles on the nearest door.
This must not be the right door, Larry.	This must not be the right door, Larry.
"Hey, Scott, the girls are here!!"	"Hey, Scott, the girls are here!!"
"It says 'Do NOT Disturb!' Can't you read?"	"It says 'Do NOT Disturb!' Can't you read?"
You hear some extremely heavy breathing.	You hear some extremely heavy breathing.
"Go away! I gave at the office!"	"Go away! I gave at the office!"
"Oh, Russ, there's someone at the door!"\n\n"They're gonna have to wait, Kim Baby! It's too late for me to stop now!!"	"Oh, Russ, there's someone at the door!"\n\n"They're gonna have to wait, Kim Baby! It's too late for me to stop now!!"
"Baaaaah. Baaaaah!"\n\nDon't even ask, Larry!	"Baaaaah. Baaaaah!"\n\nDon't even ask, Larry!
"Oh, Bruce!\nOh, Howard!\n\nOh, Terri!\nOh, Carrie!"	"Oh, Bruce!\nOh, Howard!\n\nOh, Terri!\nOh, Carrie!"
"Ken! Get off me, Ken!!"	"Ken! Get off me, Ken!!"
"Oh, gawd, Ed!! Get in the closet. It's my husband!!"	"Oh, gawd, Ed!! Get in the closet. It's my husband!!"
"Bobbit, is that you?"	"Bobbit, is that you?"
"Not now; I've got wessonality!"	"Not now; I've got wessonality!"
"Is that Room Service? I didn't order anchovies."	"Is that Room Service? I didn't order anchovies."
An eye appears at the peephole. "Hey, Mary! Isn't it a little early for Trick or Treaters?"	An eye appears at the peephole. "Hey, Mary! Isn't it a little early for Trick or Treaters?"
"Oh, gawd, Ed!! Get in the closet. It's my wife!!"	"Oh, gawd, Ed!! Get in the closet. It's my wife!!"
Hmmm. Is that the smell of burning rubber?	Hmmm. Is that the smell of burning rubber?
"Oh, Jeff. You really know how to hurt a guy!"	"Oh, Jeff. You really know how to hurt a guy!"
"Get away from him, you big bully! He's mine."	"Get away from him, you big bully! He's mine."
Your are in the casino hotel's honeymoon suite. The heart-shaped bed is just waiting for you and Fawn. The dim lighting provides the perfect atmosphere. You've always appreciated the "Early American Gaudy" look. There is a radio on the shelf behind the bed.	Your are in the casino hotel's honeymoon suite. The heart-shaped bed is just waiting for you and Fawn. The dim lighting provides the perfect atmosphere. You've always appreciated the "Early American Gaudy" look. There is a radio on the shelf behind the bed.
This is the honeymoon suite. The heart-shaped bed would have been perfect for you and Fawn. Too bad things worked out like this!	This is the honeymoon suite. The heart-shaped bed would have been perfect for you and Fawn. Too bad things worked out like this!
The radio interrupts the Frank Sinatra medley with an obnoxious singing commercial...	The radio interrupts the Frank Sinatra medley with an obnoxious singing commercial...
"We're Ajax Liquor,\nand we're proud to say,\nwe deliver all across\nthe U.S.A."	"We're Ajax Liquor,\nand we're proud to say,\nwe deliver all across\nthe U.S.A."
"You're out of luck\nif you want to dine,\nbut if you just need booze,\ndial 555-8039!"	"You're out of luck\nif you want to dine,\nbut if you just need booze,\ndial 555-8039!"
Sounds like a nice mellow station...	Sounds like a nice mellow station...
"And now, back to our music."	"And now, back to our music."
Click.	Click.
She doesn't appear to be in the mood yet, Larry.	She doesn't appear to be in the mood yet, Larry.
Good idea. Unfortunately, you have nothing with which to cut a rope, Larry.	Good idea. Unfortunately, you have nothing with which to cut a rope, Larry.
Right!\n\nUsing the pocket knife you got from the old bum by the convenience store, you saw through the ropes holding you to the bed.	Right!\n\nUsing the pocket knife you got from the old bum by the convenience store, you saw through the ropes holding you to the bed.
You never know when a nice piece of rope will come in handy.	You never know when a nice piece of rope will come in handy.
Since you have no way of cutting the ropes, and they're far too tightly tied for you to loosen, it looks like this is the end for you, Larry.	Since you have no way of cutting the ropes, and they're far too tightly tied for you to loosen, it looks like this is the end for you, Larry.
You can't. She fastened them quite securely!	You can't. She fastened them quite securely!
You can't. You're tied to a bed!	You can't. You're tied to a bed!
She is so beautiful you want to do wonderful things to, er, ah, FOR her.	She is so beautiful you want to do wonderful things to, er, ah, FOR her.
"You know, a little wine would help me get in the mood, Larry."	"You know, a little wine would help me get in the mood, Larry."
"I'd think the least a gentleman would do is to buy a lady a bottle of wine."	"I'd think the least a gentleman would do is to buy a lady a bottle of wine."
She looks ready, Larry.	She looks ready, Larry.
She says, "Lie down, Larry. I have a special surprise for you!"	She says, "Lie down, Larry. I have a special surprise for you!"
Then she says, "Close your eyes," and you do because you're sure that, finally, success is at hand.	Then she says, "Close your eyes," and you do because you're sure that, finally, success is at hand.
"Oh, Fawn!" you moan.	"Oh, Fawn!" you moan.
You grab your wallet and look inside.\n\nOh, well. At least she didn't find the %v90 bucks you hid in that secret compartment. With your consummate gambling skills, you should be back on your feet in no time!	You grab your wallet and look inside.\n\nOh, well. At least she didn't find the %v90 bucks you hid in that secret compartment. With your consummate gambling skills, you should be back on your feet in no time!
You're tied to the bed and can't move.	You're tied to the bed and can't move.
When Fawn has you securely tied to the bed, she grabs your wallet, saying, "You forgot to pay me for the wine," then heads out the door.	When Fawn has you securely tied to the bed, she grabs your wallet, saying, "You forgot to pay me for the wine," then heads out the door.
"FAWN! Come back!" you shout. "This isn't funny!!"	"FAWN! Come back!" you shout. "This isn't funny!!"
"Aren't you going to pour the wine?" she says, her eyes flashing.	"Aren't you going to pour the wine?" she says, her eyes flashing.
"I'm ready when you are, honey!"\n\nCome on, Larry; what are you waiting for?	"I'm ready when you are, honey!"\n\nCome on, Larry; what are you waiting for?
She looks like she could use some of that wine.	She looks like she could use some of that wine.
There's no wine here.	There's no wine here.
Right. Sure. Pour another for her while you're at it!	Right. Sure. Pour another for her while you're at it!
You grab the bottle, and fortify your courage with a long, hard belt!	You grab the bottle, and fortify your courage with a long, hard belt!
You carefully remove the bottle from the wine bucket, unscrew the cap, and pour two glasses. She downs her glass immediately, you refill it, and she does it again. Her eyes meet yours, and you're sure luck is with you this time!	You carefully remove the bottle from the wine bucket, unscrew the cap, and pour two glasses. She downs her glass immediately, you refill it, and she does it again. Her eyes meet yours, and you're sure luck is with you this time!
This room doesn't even have a telephone!	This room doesn't even have a telephone!
It's pretty complicated. There's a knob that says "On."	It's pretty complicated. There's a knob that says "On."
The radio IS off.	The radio IS off.
The radio IS on.	The radio IS on.
"Ooh, Baby!\n\nThat feels so good!\n\nOoooooooooh!!"	"Ooh, Baby!\n\nThat feels so good!\n\nOoooooooooh!!"
"Hey, what's the deal with the rope?"	"Hey, what's the deal with the rope?"
"Why are you tying me to the bed?"	"Why are you tying me to the bed?"
You have more important things on your mind than sitting.	You have more important things on your mind than sitting.
This window doesn't open.	This window doesn't open.
The tuning knob on the radio is stuck. Looks like you're stuck with the Easy Listening station.	The tuning knob on the radio is stuck. Looks like you're stuck with the Easy Listening station.
You can't move the knob, but it doesn't matter since the radio isn't on anyway!	You can't move the knob, but it doesn't matter since the radio isn't on anyway!
You see the lights of Lost Wages spread out before you.	You see the lights of Lost Wages spread out before you.
"Oh, Larry, it's you!" Fawn says. "I thought it was that cute, young delivery boy again."	"Oh, Larry, it's you!" Fawn says. "I thought it was that cute, young delivery boy again."
Hmmm. Was "Tuesday" a good year?	Hmmm. Was "Tuesday" a good year?
It's a table model, not a portable.	It's a table model, not a portable.
Besides, the hotel bolted it to the table.	Besides, the hotel bolted it to the table.
You are unable to break the window.	You are unable to break the window.
You can't. It's the same brand that people can't break when they want to christen a ship!	You can't. It's the same brand that people can't break when they want to christen a ship!
Don't you think a heart-shaped bed is trite?	Don't you think a heart-shaped bed is trite?
You can't. The delivery boy glued it to the table.	You can't. The delivery boy glued it to the table.
"FAWN!! You scum-sucking gutter slug, get back in here!"	"FAWN!! You scum-sucking gutter slug, get back in here!"
Unfortunately, your pleas go unheeded.	Unfortunately, your pleas go unheeded.
"Say, Fawn, when are you going to get undressed?"	"Say, Fawn, when are you going to get undressed?"
Hmmm. You wonder if there's any way a guy can "consummate" by himself?	Hmmm. You wonder if there's any way a guy can "consummate" by himself?
Larry, it looks like "the honeymoon's over."	Larry, it looks like "the honeymoon's over."
As she heads out the door, she laughs and says, "So long, turkey!"	As she heads out the door, she laughs and says, "So long, turkey!"
%m14 A beautiful security guard sits behind a desk.	%m14 A beautiful security guard sits behind a desk.
She takes one look at the bottle of Spanish Fly and says, "Boy, thanks! How did you know that I love this stuff?!" She tosses down a couple of pills, then a few more, and finally gulps the whole bottle! Her breathing becomes faster and faster until she begins to pant.	She takes one look at the bottle of Spanish Fly and says, "Boy, thanks! How did you know that I love this stuff?!" She tosses down a couple of pills, then a few more, and finally gulps the whole bottle! Her breathing becomes faster and faster until she begins to pant.
She is a knockout! But that pair of pistols slung around her hips brings a sense of foreboding to your gut.	She is a knockout! But that pair of pistols slung around her hips brings a sense of foreboding to your gut.
(Looks like tonight's your lucky night, Larry.)	(Looks like tonight's your lucky night, Larry.)
The rumors were right. You are quick on the trigger, Larry!	The rumors were right. You are quick on the trigger, Larry!
"Try it, and I'll blow your head off."	"Try it, and I'll blow your head off."
Evidently, this exit is for employees only. You'd better use the elevator.	Evidently, this exit is for employees only. You'd better use the elevator.
The beautiful security guard is sitting at the desk. A pair of large pistols are in a holster around her slim waist. She looks friendly, but quick on the trigger.	The beautiful security guard is sitting at the desk. A pair of large pistols are in a holster around her slim waist. She looks friendly, but quick on the trigger.
Since you're no longer staring at Faith's ample weapons, you notice an unlabeled button on her desk.	Since you're no longer staring at Faith's ample weapons, you notice an unlabeled button on her desk.
Oh, oh. Where are we goin' now, Larry?	Oh, oh. Where are we goin' now, Larry?
You are at the top floor of the hotel.	You are at the top floor of the hotel.
%m14 That desk is where you lost your Faith, remember? (So glad there was a chance to use THAT line!)	%m14 That desk is where you lost your Faith, remember? (So glad there was a chance to use THAT line!)
A brass plate near the elevator says: "Private."	A brass plate near the elevator says: "Private."
"Hi, my name's Faith. Nice suit!"	"Hi, my name's Faith. Nice suit!"
"Bad breath's one thing, Mister; but, you could knock a buzzard off a manure truck!"	"Bad breath's one thing, Mister; but, you could knock a buzzard off a manure truck!"
"Touch that button, and you're dead meat, White-Suit!"	"Touch that button, and you're dead meat, White-Suit!"
"So long!" Faith says. "I've got to find my boy friend before this stuff wears off!"	"So long!" Faith says. "I've got to find my boy friend before this stuff wears off!"
The penthouse elevator doors glide open.	The penthouse elevator doors glide open.
The doors are securely closed. %m16 There is no button nearby.	The doors are securely closed. %m16 There is no button nearby.
You run to the nearest door, and rap your knuckles loudly. You run right back to where you were.	You run to the nearest door, and rap your knuckles loudly. You run right back to where you were.
(She is, of course, referring to the use of her gun, Larry.)	(She is, of course, referring to the use of her gun, Larry.)
"Larry," you reply, getting your hopes aroused (among other things).	"Larry," you reply, getting your hopes aroused (among other things).
It appears Faith IS true to her name. Twisting her key in the lock, she disappears down the employee stairs.	It appears Faith IS true to her name. Twisting her key in the lock, she disappears down the employee stairs.
The doors are open. Go on in.	The doors are open. Go on in.
"Hi ya, Baby. I think I loves ya!!"	"Hi ya, Baby. I think I loves ya!!"
"May I help you in some way, Sir?" she responds in a pleasant, but businesslike voice.	"May I help you in some way, Sir?" she responds in a pleasant, but businesslike voice.
"Say, Larry," she says with a smile, "Is that a roll of dimes in your pocket, or are you just glad to see me?"	"Say, Larry," she says with a smile, "Is that a roll of dimes in your pocket, or are you just glad to see me?"
"'EXIT," she replies. "Try using it!"	"'EXIT," she replies. "Try using it!"
"Faith," she replies.	"Faith," she replies.
Hmmm. Unusual name.	Hmmm. Unusual name.
"I'm only in town for one night," you try again. "How about we get together when you get off duty?"	"I'm only in town for one night," you try again. "How about we get together when you get off duty?"
She smiles and says, "Oh, I could never be unfaithful to my boyfriend."	She smiles and says, "Oh, I could never be unfaithful to my boyfriend."
(Larry, it seems this one's gonna require outside assistance.)	(Larry, it seems this one's gonna require outside assistance.)
Try looking at the girl first.	Try looking at the girl first.
They are a beautiful pair, aren't they?	They are a beautiful pair, aren't they?
Her sweater reveals she's built like a brick shipyard.	Her sweater reveals she's built like a brick shipyard.
"Stop staring there," she says softly.	"Stop staring there," she says softly.
"Really? I'm not that kind of girl."	"Really? I'm not that kind of girl."
Evidently the rooms on this floor are all unoccupied.	Evidently the rooms on this floor are all unoccupied.
Her eyes are as sensuous as her lips.	Her eyes are as sensuous as her lips.
You're a man of the world, Larry. Perhaps some sort of medical stimulant would help.	You're a man of the world, Larry. Perhaps some sort of medical stimulant would help.
She waves back.	She waves back.
The glass elevator only goes down from here. How about you?	The glass elevator only goes down from here. How about you?
"I'm sorry, but I can't."	"I'm sorry, but I can't."
There's no need to do that.	There's no need to do that.
"Usually when I'm with someone romantic!" she replies.	"Usually when I'm with someone romantic!" she replies.
"You know, I'm supposed to be working!"	"You know, I'm supposed to be working!"
Her hair is thick and beautiful, falling in cascades around her delicate shoulders.	Her hair is thick and beautiful, falling in cascades around her delicate shoulders.
Her lips are moist and inviting, but then, you also felt that way about old Mr. Weissenborn, your high school shop teacher!	Her lips are moist and inviting, but then, you also felt that way about old Mr. Weissenborn, your high school shop teacher!
I'm sorry," Faith replies, "but you don't know me that well!"	I'm sorry," Faith replies, "but you don't know me that well!"
"Well, now. Isn't THAT special!"	"Well, now. Isn't THAT special!"
"Perhaps," she says, "but right now, I'm working."	"Perhaps," she says, "but right now, I'm working."
"I'll be here all night."	"I'll be here all night."
The moon lights an expansive rooftop garden with a spa in one corner. You've found the source of the gurgling noise!	The moon lights an expansive rooftop garden with a spa in one corner. You've found the source of the gurgling noise!
Wasting no time, you hop into the water. Oooh, does it feel good! The warm water swirls about you, the bubbles stimulating you nearly as much as the beautiful woman across from you. With the warmth of the water soaking into your body, you become quite relaxed.	Wasting no time, you hop into the water. Oooh, does it feel good! The warm water swirls about you, the bubbles stimulating you nearly as much as the beautiful woman across from you. With the warmth of the water soaking into your body, you become quite relaxed.
Wow! Just the way you like your women: nearby and naked! She has a beautiful tan, and a gorgeous body. You've waited a lifetime for this moment.	Wow! Just the way you like your women: nearby and naked! She has a beautiful tan, and a gorgeous body. You've waited a lifetime for this moment.
What a beautiful face! She's leaning back, relaxing in the spa with the water bubbling up around her. It's even possible you could become sexually aroused by this!	What a beautiful face! She's leaning back, relaxing in the spa with the water bubbling up around her. It's even possible you could become sexually aroused by this!
Eve takes your apple, and with a sweet, innocent look, raises it to her mouth. She takes a small bite out of it, while a sexy smile comes across her face. She winks, and lies back in the water, chewing delicately.	Eve takes your apple, and with a sweet, innocent look, raises it to her mouth. She takes a small bite out of it, while a sexy smile comes across her face. She winks, and lies back in the water, chewing delicately.
Eve gently moves her sensuous tongue around the apple, tiny drops of the apple's juice glistening on her lips.	Eve gently moves her sensuous tongue around the apple, tiny drops of the apple's juice glistening on her lips.
In the hot tub is the most beautiful girl you've ever seen! Beside her is her towel, and swim suit. You can't believe she doesn't mind your presence here.	In the hot tub is the most beautiful girl you've ever seen! Beside her is her towel, and swim suit. You can't believe she doesn't mind your presence here.
You have no apple.	You have no apple.
Looking over at the next hotel, you notice an ugly girl getting undressed.	Looking over at the next hotel, you notice an ugly girl getting undressed.
She's not really that pretty.	She's not really that pretty.
Well, she's looking better.	Well, she's looking better.
You know, she's not that bad.	You know, she's not that bad.
You could ignore some of her faults.	You could ignore some of her faults.
Perhaps you're in love!	Perhaps you're in love!
Pant, pant, pant, pant, pant.	Pant, pant, pant, pant, pant.
Something tells you that's the wrong approach with this one, Larry.	Something tells you that's the wrong approach with this one, Larry.
She's really turning you on! You had no idea fruit could be so exciting.	She's really turning you on! You had no idea fruit could be so exciting.
"Bad breath's one thing, Mister; but you could knock a buzzard off a manure truck!"	"Bad breath's one thing, Mister; but you could knock a buzzard off a manure truck!"
Nah. Who wants to go hot-tubbing alone?	Nah. Who wants to go hot-tubbing alone?
"Hey, handsome, why don't you slip into the water with me, so we can REALLY get to know each other!"	"Hey, handsome, why don't you slip into the water with me, so we can REALLY get to know each other!"
Her hand is resting near a fluffy, white, expensive bath towel, embroidered in florid script with the name: "Eve."	Her hand is resting near a fluffy, white, expensive bath towel, embroidered in florid script with the name: "Eve."
You can take a hint. "Let's go, baby!" you whisper!	You can take a hint. "Let's go, baby!" you whisper!
"This water feels SO good!"	"This water feels SO good!"
After finishing the apple, Eve slowly slides out of the hot tub, her steamy, naked body glistening in the moonlight. Barely covering her tremendous assets with the towel, she smiles and motions for you to follow her.	After finishing the apple, Eve slowly slides out of the hot tub, her steamy, naked body glistening in the moonlight. Barely covering her tremendous assets with the towel, she smiles and motions for you to follow her.
"Who loves ya, baby?"	"Who loves ya, baby?"
"So long, baby!" you shout!	"So long, baby!" you shout!
As you leave the hot tub, Eve speaks at last, "Say, Larry. You really ARE glad to see ME!!"	As you leave the hot tub, Eve speaks at last, "Say, Larry. You really ARE glad to see ME!!"
It's difficult to take your eyes off the beautiful woman with whom you share the hot tub.	It's difficult to take your eyes off the beautiful woman with whom you share the hot tub.
She says nothing, but that smile tells you a lot.	She says nothing, but that smile tells you a lot.
Perhaps if you establish eye contact first...	Perhaps if you establish eye contact first...
"What's your name, gorgeous?" you ask.	"What's your name, gorgeous?" you ask.
"Have you ever tried it underwater?" you coyly ask.	"Have you ever tried it underwater?" you coyly ask.
She doesn't say.	She doesn't say.
"What's your sign, dollface?" you ask.	"What's your sign, dollface?" you ask.
At last she speaks. "Yield," she says simply.	At last she speaks. "Yield," she says simply.
Although she smiles, it appears she's a woman of few words. She's waiting for you to determine what it is she wants!	Although she smiles, it appears she's a woman of few words. She's waiting for you to determine what it is she wants!
"Share your wine with me?" you ask.	"Share your wine with me?" you ask.
She hands you the glass, and you take an uncustomarily small sip. She replenishes it from the bottle, so it appears no different than before.	She hands you the glass, and you take an uncustomarily small sip. She replenishes it from the bottle, so it appears no different than before.
It appears she doesn't like that!	It appears she doesn't like that!
She wouldn't like that.	She wouldn't like that.
Say; what's this? A beautiful woman all alone in a hot tub! And, she's smiling at you? And, and...	Say; what's this? A beautiful woman all alone in a hot tub! And, she's smiling at you? And, and...
Why take it, when you can drink it?	Why take it, when you can drink it?
It looks like a bottle of fine champagne, suitable for two.	It looks like a bottle of fine champagne, suitable for two.
They ARE off.	They ARE off.
They ARE on.	They ARE on.
Her gold bracelet is engraved with the word "Eve."	Her gold bracelet is engraved with the word "Eve."
...and, she speaks, "Hi, handsome. Where have you been all my life?"	...and, she speaks, "Hi, handsome. Where have you been all my life?"
(Larry, this one seems to LIKE you!)	(Larry, this one seems to LIKE you!)
"Oooh, I like that name!"	"Oooh, I like that name!"
This is the living room of the hotel's penthouse suite. Obviously, the hotel spared no expense here. There's a fireplace on the wall to the south. No one is here, but you hear a gurgling noise coming from somewhere.	This is the living room of the hotel's penthouse suite. Obviously, the hotel spared no expense here. There's a fireplace on the wall to the south. No one is here, but you hear a gurgling noise coming from somewhere.
You wonder how they can make those gas logs look so real!	You wonder how they can make those gas logs look so real!
There is a button on either side of the elevator.	There is a button on either side of the elevator.
The bear looks back at you with a glassy-eyed stare, possibly because his eyes are made of glass!	The bear looks back at you with a glassy-eyed stare, possibly because his eyes are made of glass!
It's another one of those boring works of modern art; this one is signed "Mark Crowe."	It's another one of those boring works of modern art; this one is signed "Mark Crowe."
Yep. It's a sofa!	Yep. It's a sofa!
From this height, the view of the city is spectacular.	From this height, the view of the city is spectacular.
The elevator doors are already open. Just walk inside.	The elevator doors are already open. Just walk inside.
Instead of sitting, you should investigate that gurgling sound you hear.	Instead of sitting, you should investigate that gurgling sound you hear.
There's a sound coming from outside.	There's a sound coming from outside.
The door to the terrace is already open.	The door to the terrace is already open.
You find nothing but dust.	You find nothing but dust.
Tired already?	Tired already?
You can't. It's screwed to the wall.	You can't. It's screwed to the wall.
The penthouse bedroom is quite deluxe.	The penthouse bedroom is quite deluxe.
Didn't your Mother tell you that doing that would make you go blind?	Didn't your Mother tell you that doing that would make you go blind?
Geez, Larry. Do we have to?	Geez, Larry. Do we have to?
Now?! When she's waiting for you on the bed??	Now?! When she's waiting for you on the bed??
It is open.	It is open.
It's not open.	It's not open.
There's no inflatable doll out here.	There's no inflatable doll out here.
All right, you asked for it.\n\nIn fact, you've asked for it twice! Here we go...	All right, you asked for it.\n\nIn fact, you've asked for it twice! Here we go...
Got her!	Got her!
Selecting your own personal favorite from the three available openings, you shyly try out the doll. This has to be the kinkiest thing you've done in a long time, Larry.\n\nYou gradually increase your tempo as you lose your inhibitions (not to mention your self-esteem). Faster and faster you go, until suddenly, there's a loud, flatulent sound...	Selecting your own personal favorite from the three available openings, you shyly try out the doll. This has to be the kinkiest thing you've done in a long time, Larry.\n\nYou gradually increase your tempo as you lose your inhibitions (not to mention your self-esteem). Faster and faster you go, until suddenly, there's a loud, flatulent sound...
You lost her, remember!	You lost her, remember!
You've found a closet full of uninteresting stuff, plus one inflatable doll.	You've found a closet full of uninteresting stuff, plus one inflatable doll.
The rest of the closet is rather dull compared to the inflatable doll.	The rest of the closet is rather dull compared to the inflatable doll.
Walking out of the closet, you clumsily catch your new friend on a protruding nail! There's a loud, flatulent sound, and...	Walking out of the closet, you clumsily catch your new friend on a protruding nail! There's a loud, flatulent sound, and...
The closet is closed.	The closet is closed.
